A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
상품번호,상품,구매,방법,nan,색 RGB(16진수) 리스트,색명(사아즈 리스트),업데이트 시간,체트 시간,체크 상태,이전 색RGB(16진수) 리스트,이전 색명(사아즈 리스트),nan,nan,마지막 실행 시켰던 라인,448,2024/03/17/23:28:22,nan,nan,이름,nan
9997391883,https://smartstore.naver.com/magussa5/products/9997391883,https://www.ugg.com/all-gender-footwear/venture-daze-slide/1152680.html,nan,nan,"CHESTNUT / CERAMIC,SAND / BLACK,CERAMIC / CATERPILLAR","CHESTNUT / CERAMIC(US_4(210),US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290),US_13(300),US_14(310)),SAND / BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290),US_13(300),US_14(310)),CERAMIC / CATERPILLAR(US_4(210),US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290),US_13(300),US_14(310))",2024/03/15/19:59:57,2024/03/17/11:14:12,변경 완료(가격만 변동),"CHESTNUT / CERAMIC,SAND / BLACK,CERAMIC / CATERPILLAR","CHESTNUT / CERAMIC(US_4(210),US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290),US_13(300),US_14(310)),SAND / BLACK(US_4(210),US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290),US_13(300),US_14(310)),CERAMIC / CATERPILLAR(US_4(210),US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290),US_13(300),US_14(310))",nan,nan,nan,nan,nan,nan,nan,Venture Daze Slide,130.0
9997379681,https://smartstore.naver.com/magussa5/products/9997379681,https://www.ugg.com/women-sandals/cora/1152698.html,nan,UGG,"BLACK,CATERPILLAR","BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),CATERPILLAR(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/03/15/20:02:53,2024/03/17/11:16:02,변경 완료(가격만 변동),"BLACK,CATERPILLAR","BLACK(US_6(230),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_10(270),US_11(280),US_12(290)),CATERPILLAR(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,Cora,120.0
9997369221,https://smartstore.naver.com/magussa5/products/9997369221,https://www.ugg.com/women-sandals/goldenstar-slide/1154652.html,nan,UGG,"TAN,BLACK","TAN(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/02/26/01:36:07,2024/03/17/11:17:53,변경 완료(가격만 변동),nan,nan,nan,nan,nan,nan,nan,nan,nan,Goldenstar Slide,130.0
9997359032,https://smartstore.naver.com/magussa5/products/9997359032,https://www.ugg.com/women-sandals/aubrey-ankle/1152711.html,nan,UGG,"BLACK,SAND","BLACK(US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),SAND(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/03/15/20:07:30,2024/03/17/11:19:41,변경 완료(가격만 변동),"BLACK,SAND","BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),SAND(US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,Aubrey Ankle,130.0
9997337405,https://smartstore.naver.com/magussa5/products/9997337405,https://www.ugg.com/women-sandals/callie/1152697.html,nan,UGG,"BLACK,CATERPILLAR,SAND","BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),CATERPILLAR(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),SAND(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/02/26/01:21:06,2024/03/17/11:21:56,변경 완료(가격만 변동),nan,nan,nan,nan,nan,nan,nan,nan,nan,Callie,110.0
9997325553,https://smartstore.naver.com/magussa5/products/9997325553,https://www.ugg.com/women-sandals/goldenglow/1152685.html,nan,UGG,"BISON BROWN,SEA SALT,MANGOSTEEN,BLACK,CATERPILLAR","BISON BROWN(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),SEA SALT(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),MANGOSTEEN(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),CATERPILLAR(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290))",2024/02/26/01:15:35,2024/03/17/11:25:06,변경 완료(가격만 변동),nan,nan,nan,nan,nan,nan,nan,nan,nan,GoldenGlow,100.0
9997312064,https://smartstore.naver.com/magussa5/products/9997312064,https://www.ugg.com/women-sale-boots/classic-ultra-ultra-tall/1131991.html,nan,UGG,"CHESTNUT MULTI,BLACK","CHESTNUT MULTI(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_12(290)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270))",2024/03/15/20:43:31,2024/03/17/11:27:05,변경 완료(가격만 변동),"CHESTNUT MULTI,BLACK","CHESTNUT MULTI(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260))",nan,nan,nan,nan,nan,nan,nan,Classic Ultra Ultra Tall,419.99
9943550745,https://smartstore.naver.com/magussa5/products/9943550745,https://www.ugg.com/all-gender-markdowns/ca78-tasman/1136594S.html,nan,UGG,"WHITE / GUM,BLACK / WHITE,ORANGE SODA / MEYER LEMON,EVENING SKY / WHITE,SEAFLOW","WHITE / GUM(US_8(250),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310)),BLACK / WHITE(US_6(230),US_8(250),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300)),ORANGE SODA / MEYER LEMON(US_4(210),US_4.5(0),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310)),EVENING SKY / WHITE(US_4(210),US_4.5(0),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310)),SEAFLOW(US_4(210),US_4.5(0),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310))",2024/03/17/11:30:31,2024/03/17/11:30:31,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"WHITE / GUM,BLACK / WHITE,ORANGE SODA / MEYER LEMON,EVENING SKY / WHITE,SEAFLOW","WHITE / GUM(US_8(250),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310)),BLACK / WHITE(US_6(230),US_8(250),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300)),ORANGE SODA / MEYER LEMON(US_4(210),US_4.5(0),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310)),EVENING SKY / WHITE(US_4(210),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310)),SEAFLOW(US_4(210),US_4.5(0),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310))",nan,nan,nan,nan,nan,nan,nan,CA78 Tasman,97.99
9943533607,https://smartstore.naver.com/magussa5/products/9943533607,https://www.ugg.com/women-sale-sneakers-flats/alameda-mini-boot/1143786.html,nan,UGG,"BLACK,CHESTNUT","BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_9(260),US_9.5(265),US_10(270),US_12(290)),CHESTNUT(US_5(220),US_5.5(225),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280))",2024/03/17/11:32:39,2024/03/17/11:32:39,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"BLACK,CHESTNUT","BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_9(260),US_10(270),US_12(290)),CHESTNUT(US_5(220),US_5.5(225),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280))",nan,nan,nan,nan,nan,nan,nan,Alameda Mini Boot,90.99
9943511360,https://smartstore.naver.com/magussa5/products/9943511360,https://www.ugg.com/women-sale-sneakers-flats/alameda-lace/1130775S.html,nan,UGG,"BLACK,BRIGHT WHITE","BLACK(US_5(220),US_7(240),US_8(250),US_9(260)),BRIGHT WHITE(US_6(230),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_12(290))",2024/03/17/11:34:47,2024/03/17/11:34:47,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"BLACK,BRIGHT WHITE","BLACK(US_5(220),US_7(240),US_8(250),US_9(260)),BRIGHT WHITE(US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_12(290))",nan,nan,nan,nan,nan,nan,nan,Alameda Lace,76.99
